author,sentiment
tonystanhope,NEUTRAL
tonystanhope,NEUTRAL
Enzo20164,NEGATIVE
tonystanhope,NEUTRAL
lajaliskillatk,NEGATIVE
bgut12_MBB,NEUTRAL
A_CharmanderRS,NEUTRAL
andrevhertzog,NEUTRAL
jikoshoukai,NEUTRAL
XB1_SCTY2HTY,POSITIVE
inbotwetrust,NEUTRAL
Pomponio08,NEUTRAL
debibishop,NEUTRAL
tturner33,NEUTRAL
DjhiroYT,NEUTRAL
red_haired_girl,NEGATIVE
SusanMWhitehill,NEUTRAL
SabresCutie,NEUTRAL
ItzDiecies,NEGATIVE
Mr_Dewdrop,NEUTRAL
SabresCutie,NEUTRAL
JananJem,NEUTRAL
XB1_SCTY2HTY,NEUTRAL
GieseJackie,NEGATIVE
alex_mayorga,NEUTRAL
BurtonReview,NEUTRAL
ebk1223,NEGATIVE
BriannaAhearn,NEGATIVE
DreamsOfBeinMe,NEUTRAL
moorfan,NEUTRAL
elf_erik,NEUTRAL
bawlznation,NEUTRAL
ALSniper31,NEGATIVE
Lynxahs,NEUTRAL
